data-1585356605768
time,open,high,low,last,change,volume,cases,deaths,geoid
3/25/20,5330,5707,5316.5,5594.5,263.5,196402,1427,87,UK
3/24/20,5025,5415.5,5011,5331,424,177057,967,54,UK
3/23/20,4796.5,5149.5,4733,4907,-190,194299,665,48,UK
3/20/20,5106,5370,4952,5097,-29.5,230758,647,41,UK
3/19/20,5050,5229,4810,5126.5,60,117233,680,43,UK
3/18/20,5153,5208.5,4917.5,5066.5,-194,193081,407,5,UK
3/17/20,5125,5353,4958,5260.5,172.5,356452,152,20,UK
3/16/20,5155,5299,4794,5088,-207.5,275559,251,14,UK
3/13/20,5140,5650,5140,5295.5,85.5,93579,134,4,UK
3/12/20,5530,5553,5109.5,5210,-557.5,62985,83,0,UK
3/11/20,5973,6001.5,5679,5767.5,-126,4471,52,1,UK
3/10/20,5959.5,6128,5842.5,5893.5,-12.5,1567,48,2,UK
2/28/20,6599,6599,6350,6439.5,-262.5,156,3,0,UK
2/27/20,6758.5,6835,6620.5,6702,-214,35,0,0,UK
2/26/20,6828,6916,6760.5,6916,21.5,42,0,0,UK
2/25/20,7053,7070,6792.5,6894.5,-130,90,0,0,UK
2/24/20,7181,7183.5,6994.5,7024.5,-251,30,4,0,UK
2/21/20,7299,7302.5,7250,7275.5,-49.5,5,0,0,UK
2/20/20,7349,7349,7312.5,7325,-1.5,165,0,0,UK
2/19/20,7300,7326.5,7300,7326.5,86.5,5,0,0,UK
2/18/20,7232,7250,7232,7240,-65.5,5,0,0,UK
2/17/20,7294,7305.5,7294,7305.5,27,1,0,0,UK
2/14/20,7270.5,7278.5,7270.5,7278.5,-31,10,0,0,UK
2/13/20,7370,7370,7292.5,7309.5,-78.5,8,1,0,UK
2/12/20,7383.5,7388,7377,7388,25,8,0,0,UK
2/11/20,7320,7366,7320,7363,62,7,4,0,UK
2/10/20,7301,7310.5,7301,7301,-19,9,0,0,UK
1/31/20,7136.5,7136.5,7136.5,7136.5,-98,0,2,0,UK
1/30/20,7277,7277,7234.5,7234.5,-108,395,0,0,UK
1/29/20,7342.5,7342.5,7342.5,7342.5,8,0,0,0,UK
1/28/20,7311.5,7334.5,7311.5,7334.5,71,1,0,0,UK
1/27/20,7361,7361,7263.5,7263.5,-179.5,102,0,0,UK
1/24/20,7443,7443,7443,7443,87,3,0,0,UK
1/23/20,7356,7356,7356,7356,-61,0,0,0,UK
1/22/20,7417,7417,7417,7417,-44,0,0,0,UK
1/21/20,7461,7461,7461,7461,-41.5,5,0,0,UK
1/20/20,7502.5,7502.5,7502.5,7502.5,-26.5,0,0,0,UK
1/17/20,7529,7529,7529,7529,70,11,0,0,UK
1/16/20,7459,7459,7459,7459,-34,10,0,0,UK
1/15/20,7493,7493,7493,7493,13,4,0,0,UK
1/14/20,7482,7482,7480,7480,16,1,0,0,UK
1/13/20,7463.5,7480.5,7438.5,7464,15,23,0,0,UK
1/10/20,7436,7449,7436,7449,-2.5,1,0,0,UK
